strategy,symbol,risk_pct,trades,annual_return_pct,max_dd_pct,winrate_pct,profit_factor,sharpe,years,final_balance,long_pct,short_pct,trades_per_month,best_month,best_month_pnl,worst_month,worst_month_pnl
ema_crossover,SOLUSDT,0.5,105,7.19,5.96,40.0,1.4101,1.125,1.3,109429.44,50.5,49.5,6.74,2025-10,3852.74,2026-03,-3233.73
ema_crossover,SOLUSDT,0.75,105,10.79,8.82,40.0,1.3977,1.123,1.3,114219.53,50.5,49.5,6.74,2025-10,5983.44,2026-03,-5110.85
ema_crossover,SOLUSDT,1.0,105,14.39,11.6,40.0,1.3855,1.121,1.3,119047.45,50.5,49.5,6.74,2025-10,8253.47,2026-03,-7170.11
bb_mean_reversion,SOLUSDT,0.25,1374,-85.41,91.76,26.42,0.4534,-9.302,1.3,8235.71,51.7,48.3,88.26,2026-04,-1289.84,2025-01,-21244.84
bb_mean_reversion,SOLUSDT,0.5,1374,-96.51,98.71,26.42,0.4871,-8.654,1.3,1286.35,51.7,48.3,88.26,2026-04,-409.63,2025-01,-33053.52
bb_mean_reversion,SOLUSDT,0.75,1374,-99.0,99.75,26.42,0.4922,-8.495,1.3,253.81,51.7,48.3,88.26,2026-04,-118.56,2025-01,-41876.07
bb_mean_reversion,SOLUSDT,1.0,1374,-99.67,99.94,26.42,0.4932,-8.378,1.3,59.66,51.7,48.3,88.26,2026-04,-36.62,2025-01,-48812.29
volatility_breakout,SOLUSDT,0.25,147,-3.36,6.66,28.57,0.8507,-0.905,1.3,95669.11,56.5,43.5,9.44,2026-02,2425.49,2026-03,-2226.47
volatility_breakout,SOLUSDT,0.5,147,-6.76,13.04,28.57,0.849,-0.905,1.3,91316.82,56.5,43.5,9.44,2026-02,4723.38,2026-03,-4367.23
volatility_breakout,SOLUSDT,0.75,147,-10.21,19.12,28.57,0.8473,-0.905,1.3,86964.6,56.5,43.5,9.44,2026-02,6885.32,2026-03,-6411.27
volatility_breakout,SOLUSDT,1.0,147,-13.68,24.91,28.57,0.8457,-0.905,1.3,82632.76,56.5,43.5,9.44,2026-02,8904.4,2026-03,-8348.76
regime_switch_hybrid,STRKUSDT,0.25,106,12.87,1.74,42.45,1.8801,2.572,1.3,117009.09,34.9,65.1,6.81,2026-01,3948.9,2026-02,-2034.1
regime_switch_hybrid,STRKUSDT,0.5,106,27.11,3.46,42.45,1.866,2.572,1.3,136496.84,34.9,65.1,6.81,2026-01,9000.16,2026-02,-4700.56
regime_switch_hybrid,STRKUSDT,0.75,106,42.8,5.15,42.45,1.8524,2.571,1.3,158753.81,34.9,65.1,6.81,2026-01,15348.07,2026-02,-8125.41
regime_switch_hybrid,STRKUSDT,1.0,106,60.08,6.82,42.45,1.8393,2.57,1.3,184093.77,34.9,65.1,6.81,2026-01,23210.51,2026-02,-12452.59
momentum_breakout,STRKUSDT,0.25,49,-0.83,4.84,28.57,0.8805,-0.369,1.3,98919.9,49.0,51.0,3.15,2025-01,1845.83,2025-08,-1284.87
momentum_breakout,STRKUSDT,0.5,49,-1.71,9.47,28.57,0.8772,-0.369,1.3,97781.69,49.0,51.0,3.15,2025-01,3714.24,2025-08,-2574.03
momentum_breakout,STRKUSDT,0.75,49,-2.64,13.89,28.57,0.8739,-0.369,1.3,96588.07,49.0,51.0,3.15,2025-01,5605.36,2025-08,-3866.55
momentum_breakout,STRKUSDT,1.0,49,-3.61,18.12,28.57,0.8707,-0.369,1.3,95341.83,49.0,51.0,3.15,2025-01,7519.33,2025-08,-5161.5
ema_crossover,STRKUSDT,0.25,83,-0.11,2.79,36.14,0.9842,-0.018,1.3,99858.68,50.6,49.4,5.33,2025-11,1391.06,2025-12,-738.45
ema_crossover,STRKUSDT,0.5,83,-0.28,5.51,36.14,0.9795,-0.018,1.3,99634.86,50.6,49.4,5.33,2025-11,2754.25,2025-12,-1476.33
