pairs,n_pairs,annual_return_pct,max_dd_pct,profit_factor,sharpe,winrate_pct,trades,signals_skipped,avg_corr,final_balance,long_pct,short_pct,best_month,best_month_pnl,worst_month,worst_month_pnl
ETHUSDT+ZECUSDT+1000PEPEUSDT+ADAUSDT,4,173.73,11.53,1.6223,3.676,41.85,798,85,0.5236,2008702.43,44.0,56.0,2025-12,196411.36,2025-04,-73681.48
ETHUSDT+ZECUSDT+SUIUSDT+ADAUSDT,4,173.73,14.84,1.6494,3.634,41.53,821,82,0.522,1996044.33,43.6,56.4,2026-02,205887.82,2025-06,-31527.39
ETHUSDT+DOGEUSDT+1000PEPEUSDT+SUIUSDT,4,143.32,18.63,1.688,3.317,40.95,779,88,0.6397,1414362.36,44.4,55.6,2026-04,185293.28,2025-06,-19645.61
ETHUSDT+DOGEUSDT+1000PEPEUSDT+ADAUSDT,4,155.87,12.43,1.6814,3.436,41.95,770,101,0.6846,1642999.02,43.0,57.0,2026-01,179800.77,2025-06,-26637.21
ETHUSDT+DOGEUSDT+SUIUSDT+ADAUSDT,4,149.34,13.42,1.673,3.329,41.24,793,98,0.6578,1512531.77,43.0,57.0,2026-01,210282.66,2026-05,-84032.96
ETHUSDT+1000PEPEUSDT+SUIUSDT+ADAUSDT,4,148.54,14.29,1.6341,3.29,40.6,803,87,0.6103,1506614.24,43.5,56.5,2026-03,151938.22,2024-10,-36381.47
BCHUSDT+TONUSDT+XLMUSDT+ZECUSDT,4,184.33,12.04,1.7657,3.919,42.56,827,65,0.3715,2251750.07,45.3,54.7,2026-01,359840.96,2024-10,-16425.81
BCHUSDT+TONUSDT+XLMUSDT+DOGEUSDT,4,187.13,11.78,1.9259,3.898,43.26,816,64,0.4596,2318444.68,43.8,56.2,2026-01,392358.48,2024-10,-16004.63
BCHUSDT+TONUSDT+XLMUSDT+1000PEPEUSDT,4,178.9,13.63,1.8191,3.745,42.47,817,62,0.4105,2129060.65,44.7,55.3,2026-01,318078.88,2024-10,-30964.77
BCHUSDT+TONUSDT+XLMUSDT+SUIUSDT,4,178.4,12.87,1.8793,3.764,42.09,841,58,0.407,2114573.72,43.9,56.1,2026-01,340154.97,2024-10,-27585.22
BCHUSDT+TONUSDT+XLMUSDT+ADAUSDT,4,165.88,14.47,1.7466,3.594,41.92,835,68,0.4616,1843568.54,42.4,57.6,2026-01,331200.08,2025-06,-40008.31
BCHUSDT+TONUSDT+ZECUSDT+DOGEUSDT,4,207.41,13.12,1.8461,4.299,43.55,799,60,0.4215,2841459.97,45.2,54.8,2026-01,408609.7,2023-10,2526.62
BCHUSDT+TONUSDT+ZECUSDT+1000PEPEUSDT,4,196.27,12.17,1.7384,4.034,42.64,802,56,0.3835,2549470.06,46.0,54.0,2026-05,437355.69,2026-04,-48596.04
BCHUSDT+TONUSDT+ZECUSDT+SUIUSDT,4,191.77,16.85,1.7657,4.094,42.18,818,60,0.3814,2431869.16,45.4,54.6,2026-01,334639.33,2025-07,-64690.78
BCHUSDT+TONUSDT+ZECUSDT+ADAUSDT,4,191.1,15.04,1.7193,4.032,42.45,815,67,0.4064,2415322.36,44.3,55.7,2026-01,339336.38,2026-04,-84929.27
BCHUSDT+TONUSDT+DOGEUSDT+1000PEPEUSDT,4,189.49,12.63,1.9083,3.969,43.15,781,65,0.5066,2379453.49,44.4,55.6,2026-01,353049.58,2024-10,-16758.48
BCHUSDT+TONUSDT+DOGEUSDT+SUIUSDT,4,194.54,12.91,1.9341,4.159,42.95,801,65,0.4793,2501433.14,44.3,55.7,2026-01,374571.7,2025-06,-12713.47
BCHUSDT+TONUSDT+DOGEUSDT+ADAUSDT,4,179.91,11.34,1.8109,3.887,42.75,793,77,0.5183,2149056.06,42.9,57.1,2026-01,357771.0,2024-10,-14818.92
BCHUSDT+TONUSDT+1000PEPEUSDT+SUIUSDT,4,173.3,14.4,1.8025,3.768,41.53,809,56,0.4385,2004277.27,44.3,55.7,2026-01,258471.22,2024-10,-34095.4
BCHUSDT+TONUSDT+1000PEPEUSDT+ADAUSDT,4,177.66,14.23,1.7382,3.787,42.14,802,67,0.467,2100972.29,43.9,56.1,2026-01,313704.23,2026-04,-38907.13
BCHUSDT+TONUSDT+SUIUSDT+ADAUSDT,4,174.52,16.29,1.7683,3.794,41.55,828,61,0.4649,2027967.61,42.9,57.1,2026-01,314724.79,2025-06,-53862.33
BCHUSDT+XLMUSDT+ZECUSDT+DOGEUSDT,4,202.43,9.76,1.8029,4.098,43.32,831,78,0.4337,2705239.29,46.1,53.9,2026-01,366777.49,2025-03,-7148.44
BCHUSDT+XLMUSDT+ZECUSDT+1000PEPEUSDT,4,197.73,10.52,1.7603,3.871,42.82,829,79,0.3885,2586177.46,47.2,52.8,2026-02,297091.83,2026-04,-78035.14
BCHUSDT+XLMUSDT+ZECUSDT+SUIUSDT,4,186.43,12.89,1.749,3.804,42.01,857,71,0.385,2300686.17,46.1,53.9,2026-01,308592.1,2024-10,-21891.07
BCHUSDT+XLMUSDT+ZECUSDT+ADAUSDT,4,178.81,12.88,1.6435,3.767,42.03,847,85,0.4384,2123132.91,45.0,55.0,2026-01,294765.13,2026-04,-102699.5
BCHUSDT+XLMUSDT+DOGEUSDT+1000PEPEUSDT,4,167.86,14.61,1.8155,3.576,42.31,806,90,0.5062,1886969.55,45.7,54.3,2026-01,218831.45,2024-10,-15099.23
BCHUSDT+XLMUSDT+DOGEUSDT+SUIUSDT,4,163.77,13.55,1.8127,3.587,41.54,845,71,0.4775,1799669.52,45.1,54.9,2026-01,269510.08,2024-10,-19335.43
BCHUSDT+XLMUSDT+DOGEUSDT+ADAUSDT,4,158.77,12.29,1.7201,3.51,41.87,824,96,0.5448,1700036.99,43.7,56.3,2026-01,278145.25,2024-10,-19563.48
BCHUSDT+XLMUSDT+1000PEPEUSDT+SUIUSDT,4,185.45,13.49,1.8502,3.719,42.14,840,75,0.4296,2280935.28,45.2,54.8,2026-01,262165.69,2024-10,-37213.95
BCHUSDT+XLMUSDT+1000PEPEUSDT+ADAUSDT,4,159.42,15.28,1.6812,3.425,41.5,829,90,0.4864,1715177.0,44.4,55.6,2026-01,227073.9,2024-10,-38342.83
BCHUSDT+XLMUSDT+SUIUSDT+ADAUSDT,4,158.11,14.58,1.6975,3.504,41.05,855,84,0.483,1687010.71,43.2,56.8,2026-01,228743.2,2025-06,-45237.3
BCHUSDT+ZECUSDT+DOGEUSDT+1000PEPEUSDT,4,187.66,10.85,1.7162,3.85,42.5,800,75,0.4759,2334010.8,46.9,53.1,2026-02,320611.69,2026-04,-56526.72
BCHUSDT+ZECUSDT+DOGEUSDT+SUIUSDT,4,180.2,11.02,1.7031,3.97,41.69,830,65,0.4486,2154935.64,46.5,53.5,2026-02,288623.66,2024-10,-4877.34
BCHUSDT+ZECUSDT+DOGEUSDT+ADAUSDT,4,190.34,13.59,1.6831,4.006,42.56,813,86,0.4864,2395581.29,45.5,54.5,2025-12,304073.91,2026-04,-74900.21
BCHUSDT+ZECUSDT+1000PEPEUSDT+SUIUSDT,4,181.92,11.83,1.6929,3.767,41.35,827,67,0.4118,2197884.51,46.6,53.4,2026-02,260372.63,2024-10,-22734.39
