pairs,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_trades,is_annual,is_dd,is_pf,is_trades,passes
BNB+ETH+VET,109.6,13.34,1.71,3.28,357,45.8,11.91,1.42,313,no
BNB+ETH+WLD,125.7,12.29,1.81,3.84,341,35.8,15.1,1.33,301,no
BNB+ETH+XRP,125.4,14.2,1.79,3.46,330,35.7,12.98,1.36,281,no
BNB+HBAR+LTC,95.9,13.88,1.57,3.06,352,49.1,9.06,1.36,363,no
BNB+HBAR+SNX,96.3,10.39,1.60,3.15,336,66.5,14.87,1.43,379,no
BNB+HBAR+TON,94.0,14.12,1.59,3.15,340,53.4,14.26,1.43,330,no
BNB+HBAR+VET,70.0,16.7,1.44,2.41,363,51.9,17.07,1.39,362,no
BNB+HBAR+WLD,83.4,12.7,1.52,2.89,347,41.5,12.35,1.32,350,no
BNB+HBAR+XRP,83.1,17.11,1.51,2.81,336,41.6,11.92,1.35,330,no
BNB+LTC+SNX,142.8,8.88,1.82,3.82,356,59.0,14.61,1.40,363,no
BNB+LTC+TON,141.2,9.93,1.81,3.92,360,46.5,10.48,1.39,314,no
BNB+LTC+VET,110.5,12.62,1.64,3.17,383,45.1,14.37,1.36,346,no
BNB+LTC+WLD,128.1,11.44,1.73,3.67,367,35.0,13.1,1.29,334,no
BNB+LTC+XRP,126.4,12.22,1.72,3.52,356,35.1,15.61,1.31,314,no
BNB+SNX+TON,141.1,7.88,1.86,4.12,344,63.9,12.12,1.47,330,no
BNB+SNX+VET,110.8,11.34,1.68,3.34,367,62.6,15.79,1.44,362,no
BNB+SNX+WLD,127.5,12.6,1.78,3.84,351,51.4,15.42,1.37,350,no
BNB+SNX+XRP,126.9,9.33,1.76,3.63,340,50.9,13.25,1.40,330,no
BNB+TON+VET,108.6,8.86,1.67,3.41,371,49.5,13.8,1.43,313,no
BNB+TON+WLD,125.8,14.18,1.76,3.95,355,39.1,12.91,1.35,301,no
BNB+TON+XRP,124.3,10.53,1.74,3.69,344,39.1,8.92,1.39,281,no
BNB+VET+WLD,97.0,9.66,1.59,3.13,378,37.9,17.67,1.32,333,no
BNB+VET+XRP,96.9,10.79,1.58,2.94,367,37.9,17.1,1.35,313,no
BNB+WLD+XRP,112.4,13.31,1.67,3.65,351,28.5,15.83,1.27,301,no
BTC+DOGE+ENS,110.2,11.85,1.56,3.09,364,35.3,16.22,1.31,318,no
BTC+DOGE+ETH,95.2,10.32,1.61,3.03,323,31.6,16.89,1.31,290,no
BTC+DOGE+HBAR,59.2,10.58,1.37,2.36,329,37.2,15.55,1.31,339,no
BTC+DOGE+LTC,97.5,11.11,1.55,3.07,349,31.1,17.57,1.27,323,no
BTC+DOGE+SNX,96.8,12.45,1.58,3.17,333,46.8,16.86,1.35,339,no
BTC+DOGE+TON,95.2,8.64,1.58,3.23,337,35.6,12.78,1.33,290,no
BTC+DOGE+VET,70.8,12.76,1.43,2.49,360,33.6,20.4,1.30,322,no
BTC+DOGE+WLD,84.8,7.18,1.51,3.05,344,25.0,20.44,1.23,310,no
BTC+DOGE+XRP,83.9,8.19,1.50,2.87,333,24.3,16.39,1.24,290,no
BTC+ENS+ETH,121.4,13.18,1.69,3.33,345,35.7,18.2,1.33,306,no
BTC+ENS+HBAR,80.4,11.42,1.44,2.62,351,41.3,21.98,1.32,355,no
BTC+ENS+LTC,124.1,12.57,1.62,3.4,371,34.9,19.35,1.28,339,no
BTC+ENS+SNX,123.4,9.91,1.65,3.44,355,51.1,23.45,1.36,355,no
BTC+ENS+TON,121.4,10.62,1.65,3.59,359,39.0,17.25,1.35,306,no
BTC+ENS+VET,93.7,11.49,1.50,2.79,382,37.4,26.01,1.31,338,no
BTC+ENS+WLD,109.5,13.18,1.58,3.29,366,28.2,24.28,1.24,326,no
BTC+ENS+XRP,108.9,14.38,1.57,3.23,355,28.0,23.13,1.26,306,no
BTC+ETH+HBAR,67.6,8.49,1.47,2.54,310,37.6,17.57,1.32,327,no
BTC+ETH+LTC,107.8,11.55,1.68,3.26,330,31.2,17.8,1.28,311,no
BTC+ETH+SNX,107.4,9.22,1.72,3.39,314,47.1,18.47,1.37,327,no
BTC+ETH+TON,105.6,8.06,1.71,3.42,318,35.3,13.15,1.35,278,no
BTC+ETH+VET,80.1,13.61,1.54,2.76,341,33.9,20.74,1.32,310,no
BTC+ETH+WLD,94.6,7.64,1.64,3.24,325,24.9,20.51,1.24,298,no
BTC+ETH+XRP,93.8,10.37,1.62,3.02,314,24.7,16.96,1.26,278,no
BTC+HBAR+LTC,69.4,11.56,1.42,2.53,336,37.1,19.58,1.28,360,no
BTC+HBAR+SNX,69.2,9.75,1.44,2.66,320,53.1,24.82,1.35,376,no
BTC+HBAR+TON,67.1,14.61,1.44,2.51,324,41.0,18.74,1.34,327,no
