pairs,oos_annual,oos_dd,oos_pf,oos_trades,is_annual,is_dd,is_pf,is_trades
XRPUSDT+HBARUSDT+TONUSDT,120.69,13.42,1.631,330,61.65,17.42,1.421,316
XRPUSDT+ETHUSDT+DOGEUSDT,166.43,11.16,1.828,329,49.35,14.15,1.411,279
XRPUSDT+ETHUSDT+BTCUSDT,115.37,12.01,1.61,314,28.95,19.58,1.255,278
XRPUSDT+ETHUSDT+BCHUSDT,157.43,16.22,1.941,307,67.17,11.85,1.588,285
XRPUSDT+ETHUSDT+ADAUSDT,145.98,16.99,1.783,326,69.41,13.21,1.488,305
XRPUSDT+ETHUSDT+1000PEPEUSDT,143.38,12.33,1.78,323,61.86,16.63,1.492,284
XRPUSDT+ETHUSDT+WLDUSDT,164.26,14.43,1.877,331,40.59,18.93,1.327,287
XRPUSDT+ETHUSDT+TONUSDT,181.4,15.29,1.956,324,54.22,10.21,1.455,267
XRPUSDT+DOGEUSDT+BTCUSDT,102.64,9.54,1.487,333,28.47,18.95,1.239,290
XRPUSDT+DOGEUSDT+BCHUSDT,141.86,10.69,1.76,326,66.72,10.72,1.551,297
XRPUSDT+DOGEUSDT+ADAUSDT,130.92,12.44,1.633,345,68.83,12.98,1.462,317
XRPUSDT+DOGEUSDT+1000PEPEUSDT,127.95,10.08,1.624,342,61.36,15.32,1.463,296
XRPUSDT+DOGEUSDT+WLDUSDT,148.14,13.29,1.71,350,40.2,16.93,1.308,299
XRPUSDT+DOGEUSDT+TONUSDT,164.15,10.07,1.779,343,53.84,9.59,1.429,279
XRPUSDT+BTCUSDT+BCHUSDT,96.8,13.36,1.542,311,43.73,16.46,1.384,296
XRPUSDT+BTCUSDT+ADAUSDT,87.61,15.51,1.447,330,45.85,21.82,1.328,316
XRPUSDT+BTCUSDT+1000PEPEUSDT,86.4,9.72,1.438,327,39.16,28.9,1.313,295
XRPUSDT+BTCUSDT+WLDUSDT,102.47,11.89,1.51,335,20.99,25.88,1.173,298
XRPUSDT+BTCUSDT+TONUSDT,115.1,11.52,1.574,328,32.7,19.84,1.277,278
XRPUSDT+BCHUSDT+ADAUSDT,123.59,15.77,1.711,323,88.76,16.22,1.624,323
XRPUSDT+BCHUSDT+1000PEPEUSDT,122.04,10.72,1.706,320,80.37,15.98,1.636,302
XRPUSDT+BCHUSDT+WLDUSDT,141.22,14.19,1.796,328,56.87,14.48,1.457,305
XRPUSDT+BCHUSDT+TONUSDT,156.31,12.81,1.878,321,72.01,10.23,1.606,285
XRPUSDT+ADAUSDT+1000PEPEUSDT,111.6,12.5,1.585,339,82.96,17.5,1.527,322
XRPUSDT+ADAUSDT+WLDUSDT,130.12,16.06,1.666,347,59.21,16.52,1.385,325
XRPUSDT+ADAUSDT+TONUSDT,144.44,15.0,1.736,340,74.45,15.45,1.501,305
XRPUSDT+1000PEPEUSDT+WLDUSDT,128.15,10.65,1.659,344,51.66,21.24,1.378,304
XRPUSDT+1000PEPEUSDT+TONUSDT,143.1,8.9,1.734,337,66.35,14.74,1.504,284
XRPUSDT+WLDUSDT+TONUSDT,163.9,18.51,1.817,345,44.58,15.11,1.344,287
XLMUSDT+HBARUSDT+ETHUSDT,139.82,11.32,1.732,330,67.51,18.63,1.446,356
XLMUSDT+HBARUSDT+DOGEUSDT,125.36,10.66,1.585,349,67.15,10.24,1.423,368
XLMUSDT+HBARUSDT+BTCUSDT,82.05,9.4,1.406,334,44.49,16.33,1.3,367
XLMUSDT+HBARUSDT+BCHUSDT,117.48,10.13,1.657,327,86.89,11.44,1.57,374
XLMUSDT+HBARUSDT+ADAUSDT,107.64,10.99,1.544,346,89.47,15.0,1.483,394
XLMUSDT+HBARUSDT+1000PEPEUSDT,106.12,11.39,1.535,343,81.06,9.5,1.486,373
XLMUSDT+HBARUSDT+WLDUSDT,122.75,12.89,1.611,351,57.03,13.35,1.353,376
XLMUSDT+HBARUSDT+TONUSDT,137.51,9.87,1.683,344,72.66,13.35,1.459,356
XLMUSDT+ETHUSDT+DOGEUSDT,187.34,9.12,1.877,343,59.21,12.59,1.449,319
XLMUSDT+ETHUSDT+BTCUSDT,131.27,10.07,1.66,328,37.64,19.84,1.305,318
XLMUSDT+ETHUSDT+BCHUSDT,177.03,11.18,2.004,321,78.26,11.47,1.619,325
XLMUSDT+ETHUSDT+ADAUSDT,164.2,12.64,1.837,340,80.88,11.33,1.523,345
XLMUSDT+ETHUSDT+1000PEPEUSDT,161.93,11.28,1.832,337,72.77,14.28,1.526,324
XLMUSDT+ETHUSDT+WLDUSDT,183.85,11.51,1.934,345,49.7,16.47,1.368,327
XLMUSDT+ETHUSDT+TONUSDT,202.97,10.29,2.015,338,64.49,12.57,1.494,307
XLMUSDT+DOGEUSDT+BTCUSDT,117.74,8.78,1.53,347,37.25,15.87,1.287,330
XLMUSDT+DOGEUSDT+BCHUSDT,160.45,10.58,1.814,340,77.95,13.78,1.582,337
XLMUSDT+DOGEUSDT+ADAUSDT,148.19,11.6,1.679,359,80.42,11.17,1.495,357
XLMUSDT+DOGEUSDT+1000PEPEUSDT,145.49,11.46,1.669,356,72.38,13.3,1.497,336
XLMUSDT+DOGEUSDT+WLDUSDT,166.72,10.58,1.759,364,49.43,14.6,1.348,339
XLMUSDT+DOGEUSDT+TONUSDT,184.58,7.92,1.829,357,64.24,11.81,1.467,319
XLMUSDT+BTCUSDT+BCHUSDT,111.45,10.43,1.594,325,53.5,15.1,1.429,336
XLMUSDT+BTCUSDT+ADAUSDT,101.12,11.25,1.493,344,56.0,14.65,1.37,356
XLMUSDT+BTCUSDT+1000PEPEUSDT,100.29,8.43,1.483,341,48.76,19.22,1.358,335
XLMUSDT+BTCUSDT+WLDUSDT,117.14,8.78,1.558,349,29.12,18.77,1.222,338
XLMUSDT+BTCUSDT+TONUSDT,131.22,7.79,1.624,342,41.85,11.97,1.326,318
XLMUSDT+BCHUSDT+ADAUSDT,140.2,11.92,1.768,337,101.6,14.26,1.654,363
XLMUSDT+BCHUSDT+1000PEPEUSDT,139.09,7.63,1.761,334,92.41,13.72,1.663,342
XLMUSDT+BCHUSDT+WLDUSDT,159.27,12.63,1.856,342,67.2,13.16,1.492,345
XLMUSDT+BCHUSDT+TONUSDT,176.13,7.88,1.941,335,83.72,13.61,1.636,325
XLMUSDT+ADAUSDT+1000PEPEUSDT,127.33,9.89,1.634,353,95.59,14.73,1.559,362
XLMUSDT+ADAUSDT+WLDUSDT,146.76,13.2,1.718,361,69.93,12.27,1.421,365
XLMUSDT+ADAUSDT+TONUSDT,162.73,10.49,1.79,354,86.54,12.17,1.535,345
XLMUSDT+1000PEPEUSDT+WLDUSDT,145.22,9.1,1.709,358,61.8,17.52,1.415,344
XLMUSDT+1000PEPEUSDT+TONUSDT,161.92,7.95,1.786,351,77.84,10.9,1.537,324
XLMUSDT+WLDUSDT+TONUSDT,183.79,16.18,1.874,359,54.18,11.11,1.384,327
HBARUSDT+ETHUSDT+DOGEUSDT,125.52,9.24,1.671,325,67.09,10.64,1.451,328
HBARUSDT+ETHUSDT+BTCUSDT,81.89,9.84,1.462,310,44.61,20.28,1.319,327
HBARUSDT+ETHUSDT+BCHUSDT,117.68,12.58,1.755,303,87.39,10.71,1.611,334
HBARUSDT+ETHUSDT+ADAUSDT,108.0,13.95,1.621,322,89.56,14.46,1.508,354
HBARUSDT+ETHUSDT+1000PEPEUSDT,106.26,9.7,1.614,319,81.37,10.62,1.517,333
HBARUSDT+ETHUSDT+WLDUSDT,122.88,13.2,1.699,327,57.05,14.46,1.373,336
HBARUSDT+ETHUSDT+TONUSDT,137.9,13.9,1.783,320,72.49,14.2,1.486,316
HBARUSDT+DOGEUSDT+BTCUSDT,71.36,12.27,1.358,329,44.1,17.95,1.303,339
HBARUSDT+DOGEUSDT+BCHUSDT,104.78,9.15,1.597,322,86.92,8.43,1.579,346
HBARUSDT+DOGEUSDT+ADAUSDT,95.52,11.18,1.491,341,88.94,17.49,1.485,366
HBARUSDT+DOGEUSDT+1000PEPEUSDT,93.43,14.52,1.48,338,80.83,11.39,1.492,345
HBARUSDT+DOGEUSDT+WLDUSDT,109.55,10.12,1.555,346,56.65,14.35,1.355,348
HBARUSDT+DOGEUSDT+TONUSDT,123.61,11.2,1.626,339,72.1,15.32,1.463,328
HBARUSDT+BTCUSDT+BCHUSDT,65.99,12.62,1.39,307,61.48,11.2,1.438,345
HBARUSDT+BTCUSDT+ADAUSDT,58.37,12.73,1.315,326,63.59,24.55,1.37,365
HBARUSDT+BTCUSDT+1000PEPEUSDT,57.58,13.29,1.306,323,56.24,28.05,1.364,344
HBARUSDT+BTCUSDT+WLDUSDT,70.32,17.88,1.368,331,35.51,28.78,1.24,347
HBARUSDT+BTCUSDT+TONUSDT,81.38,16.87,1.431,324,48.82,21.56,1.334,327
HBARUSDT+BCHUSDT+ADAUSDT,88.96,14.3,1.544,319,111.49,13.34,1.633,372
HBARUSDT+BCHUSDT+1000PEPEUSDT,87.92,10.76,1.536,316,102.22,9.35,1.649,351
HBARUSDT+BCHUSDT+WLDUSDT,103.11,16.69,1.614,324,75.59,8.72,1.492,354
HBARUSDT+BCHUSDT+TONUSDT,116.34,15.59,1.697,317,92.85,9.3,1.621,334
HBARUSDT+ADAUSDT+1000PEPEUSDT,79.23,11.45,1.438,335,104.92,16.33,1.538,371
HBARUSDT+ADAUSDT+WLDUSDT,93.98,16.35,1.508,343,77.89,21.21,1.413,374
HBARUSDT+ADAUSDT+TONUSDT,106.54,15.97,1.579,336,95.2,19.54,1.514,354
HBARUSDT+1000PEPEUSDT+WLDUSDT,92.58,9.52,1.499,340,69.67,18.53,1.413,353
HBARUSDT+1000PEPEUSDT+TONUSDT,105.66,10.9,1.573,333,86.43,14.42,1.522,333
HBARUSDT+WLDUSDT+TONUSDT,122.14,23.52,1.646,341,61.51,17.57,1.383,336
ETHUSDT+DOGEUSDT+BTCUSDT,117.19,11.95,1.599,323,37.34,19.44,1.31,290
ETHUSDT+DOGEUSDT+BCHUSDT,160.25,8.42,1.929,316,78.34,12.7,1.636,297
ETHUSDT+DOGEUSDT+ADAUSDT,148.19,9.84,1.771,335,80.44,11.28,1.53,317
ETHUSDT+DOGEUSDT+1000PEPEUSDT,145.23,10.01,1.764,332,72.59,16.35,1.539,296
ETHUSDT+DOGEUSDT+WLDUSDT,166.42,10.31,1.865,340,49.59,18.12,1.374,299
ETHUSDT+DOGEUSDT+TONUSDT,184.58,7.08,1.946,333,64.33,10.78,1.503,279
ETHUSDT+BTCUSDT+BCHUSDT,110.96,10.95,1.673,301,53.87,14.92,1.466,296
ETHUSDT+BTCUSDT+ADAUSDT,100.81,13.27,1.555,320,56.13,15.44,1.394,316
ETHUSDT+BTCUSDT+1000PEPEUSDT,99.78,10.07,1.547,317,48.97,23.51,1.385,295
ETHUSDT+BTCUSDT+WLDUSDT,116.56,8.88,1.63,325,29.24,23.63,1.238,298
ETHUSDT+BTCUSDT+TONUSDT,130.85,9.39,1.706,318,41.88,15.18,1.348,278
ETHUSDT+BCHUSDT+ADAUSDT,140.26,14.79,1.874,313,102.07,11.31,1.702,323
ETHUSDT+BCHUSDT+1000PEPEUSDT,138.9,10.43,1.871,310,93.29,11.87,1.723,302
ETHUSDT+BCHUSDT+WLDUSDT,159.04,13.19,1.977,318,67.64,12.1,1.533,305
ETHUSDT+BCHUSDT+TONUSDT,176.18,14.25,2.074,311,84.03,7.74,1.69,285
ETHUSDT+ADAUSDT+1000PEPEUSDT,127.32,11.94,1.721,329,95.85,11.95,1.596,322
ETHUSDT+ADAUSDT+WLDUSDT,146.73,13.19,1.815,337,70.01,14.19,1.446,325
ETHUSDT+ADAUSDT+TONUSDT,162.97,13.51,1.897,330,86.47,11.65,1.568,305
ETHUSDT+1000PEPEUSDT+WLDUSDT,144.94,10.97,1.809,334,62.06,21.77,1.445,304
ETHUSDT+1000PEPEUSDT+TONUSDT,161.9,7.33,1.898,327,77.96,11.7,1.578,284
ETHUSDT+WLDUSDT+TONUSDT,183.74,16.51,1.996,335,54.29,13.52,1.41,287
DOGEUSDT+BTCUSDT+BCHUSDT,98.76,8.2,1.534,320,53.37,15.95,1.44,308
DOGEUSDT+BTCUSDT+ADAUSDT,89.11,11.08,1.44,339,55.5,16.76,1.374,328
DOGEUSDT+BTCUSDT+1000PEPEUSDT,87.64,10.39,1.428,336,48.42,21.58,1.365,307
DOGEUSDT+BTCUSDT+WLDUSDT,103.92,8.32,1.502,344,29.34,23.56,1.224,310
DOGEUSDT+BTCUSDT+TONUSDT,117.32,10.03,1.567,337,42.25,14.77,1.33,290
DOGEUSDT+BCHUSDT+ADAUSDT,125.93,10.97,1.702,332,101.48,9.86,1.664,335
DOGEUSDT+BCHUSDT+1000PEPEUSDT,124.05,8.9,1.693,329,92.78,12.16,1.681,314
DOGEUSDT+BCHUSDT+WLDUSDT,143.55,10.94,1.787,337,67.26,11.95,1.503,317
DOGEUSDT+BCHUSDT+TONUSDT,159.58,8.38,1.871,330,83.67,12.77,1.651,297
DOGEUSDT+ADAUSDT+1000PEPEUSDT,113.11,10.44,1.574,348,95.19,11.92,1.567,334
DOGEUSDT+ADAUSDT+WLDUSDT,131.89,13.1,1.657,356,69.49,14.0,1.424,337
DOGEUSDT+ADAUSDT+TONUSDT,147.08,10.93,1.728,349,85.96,14.23,1.54,317
DOGEUSDT+1000PEPEUSDT+WLDUSDT,129.6,10.39,1.646,353,61.62,19.09,1.422,316
DOGEUSDT+1000PEPEUSDT+TONUSDT,145.39,10.05,1.722,346,77.53,11.25,1.548,296
DOGEUSDT+WLDUSDT+TONUSDT,166.55,13.02,1.81,354,56.02,15.61,1.389,299
BTCUSDT+BCHUSDT+ADAUSDT,83.57,13.75,1.486,317,73.99,16.59,1.519,334
BTCUSDT+BCHUSDT+1000PEPEUSDT,82.53,13.49,1.477,314,66.0,21.22,1.518,313
BTCUSDT+BCHUSDT+WLDUSDT,97.89,9.94,1.555,322,44.26,15.8,1.359,316
BTCUSDT+BCHUSDT+TONUSDT,110.49,10.4,1.631,315,58.31,12.49,1.486,296
BTCUSDT+ADAUSDT+1000PEPEUSDT,74.01,13.02,1.39,333,68.63,24.38,1.435,333
BTCUSDT+ADAUSDT+WLDUSDT,88.93,11.34,1.46,341,46.6,24.56,1.307,336
BTCUSDT+ADAUSDT+TONUSDT,100.9,12.06,1.525,334,60.76,18.95,1.408,316
BTCUSDT+1000PEPEUSDT+WLDUSDT,87.53,8.49,1.449,338,39.45,28.82,1.292,315
BTCUSDT+1000PEPEUSDT+TONUSDT,99.99,10.42,1.517,331,53.09,22.18,1.4,295
BTCUSDT+WLDUSDT+TONUSDT,116.69,19.25,1.59,339,33.51,21.09,1.257,298
BCHUSDT+ADAUSDT+1000PEPEUSDT,107.47,12.27,1.646,326,118.13,13.63,1.735,340
BCHUSDT+ADAUSDT+WLDUSDT,125.29,14.26,1.733,334,89.73,10.98,1.571,343
BCHUSDT+ADAUSDT+TONUSDT,139.59,14.61,1.817,327,108.06,12.63,1.711,323
BCHUSDT+1000PEPEUSDT+WLDUSDT,123.51,10.29,1.726,331,81.14,15.45,1.578,322
BCHUSDT+1000PEPEUSDT+TONUSDT,138.45,10.09,1.815,324,98.65,10.62,1.73,302
BCHUSDT+WLDUSDT+TONUSDT,158.14,16.74,1.906,332,72.38,10.13,1.546,305
ADAUSDT+1000PEPEUSDT+WLDUSDT,113.26,11.15,1.604,350,83.6,16.41,1.482,342
ADAUSDT+1000PEPEUSDT+TONUSDT,127.43,11.47,1.68,343,101.41,13.62,1.6,322
ADAUSDT+WLDUSDT+TONUSDT,146.78,18.44,1.762,351,74.93,16.0,1.455,325
1000PEPEUSDT+WLDUSDT+TONUSDT,145.12,8.36,1.757,348,66.43,16.61,1.454,304
